"PAYSLIP_ID","EMPLOYEE_NO","EMPLOYEE_NAME","PERIOD_START_DATE","PERIOD_END_DATE","EMPLOYEE_POSITION/DEPARTMENT","MONTHLY_RATE","HOURLY_RATE","HOURS_WORKED","OVERTIME","RICE_SUBSIDY","PHONE_ALLOWANCE","CLOTHING_ALLOWANCE","SSS","PHILHEALTH","PAG-IBIG","WITHHOLDING_TAX","TOTAL_ALLOWANCES","TOTAL_DEDUCTIONS","GROSS_iNCOME","NET_PAY"
"202403-34","34","Santos, Beatriz","2024-03-01","2024-03-31","Customer Service and Relations / Customer Service","₱41,498.27","₱313.51","132.37","₱0.00","₱52.00","₱1.00","₱1.00","₱1,125.00","₱622.47","₱100.00","₱9,202.64","₱54.00","₱11,050.11","₱41,552.27","₱30,502.16"
"202403-33","33","Martinez, Carlos Ian","2024-03-01","2024-03-31","Supply Chain and Logistics / Logistics","₱41,425.12","₱313.51","132.13","₱0.00","₱52.00","₱1.00","₱1.00","₱1,125.00","₱621.38","₱100.00","₱9,181.02","₱54.00","₱11,027.40","₱41,479.12","₱30,451.72"
"202403-32","32","Castro, John Rafael","2024-03-01","2024-03-31","Sales & Marketing / Sales","₱42,323.85","₱313.51","135.00","₱0.00","₱52.00","₱1.00","₱1.00","₱1,125.00","₱634.86","₱100.00","₱9,446.60","₱54.00","₱11,306.46","₱42,377.85","₱31,071.39"
"202403-31","31","Aguilar, Delia ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱17,589.47","₱133.93","131.33","₱0.00","₱22.00","₱1.00","₱500.00","₱810.00","₱263.84","₱100.00","₱3,387.73","₱523.00","₱4,561.57","₱18,112.47","₱13,550.90"
"202403-30","30","Maceda, Emelia ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱19,192.17","₱133.93","143.30","₱0.00","₱22.00","₱1.00","₱500.00","₱877.50","₱287.88","₱100.00","₱3,689.96","₱523.00","₱4,955.34","₱19,715.17","₱14,759.83"
"202403-29","29","Ramos, Carol ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱19,225.65","₱133.93","143.55","₱0.00","₱22.00","₱1.00","₱500.00","₱877.50","₱288.38","₱100.00","₱3,696.55","₱523.00","₱4,962.44","₱19,748.65","₱14,786.21"
"202403-28","28","Villegas, Lizeth ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱20,388.50","₱142.86","142.72","₱0.00","₱24.00","₱1.00","₱500.00","₱945.00","₱305.83","₱100.00","₱3,912.54","₱525.00","₱5,263.36","₱20,913.50","₱15,650.14"
"202403-27","27","Manalaysay, Garfield ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱20,460.29","₱147.32","138.88","₱0.00","₱24.00","₱1.00","₱500.00","₱945.00","₱306.90","₱100.00","₱3,926.68","₱525.00","₱5,278.58","₱20,985.29","₱15,706.71"
"202403-26","26","Gutierrez, Percival ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱18,537.77","₱147.32","125.83","₱0.00","₱24.00","₱1.00","₱500.00","₱855.00","₱278.07","₱100.00","₱3,565.94","₱525.00","₱4,799.01","₱19,062.77","₱14,263.76"
"202403-25","25","Tolentino, Jacklyn ","2024-03-01","2024-03-31","Account Rank and File / Accounting","₱19,186.10","₱142.86","134.30","₱0.00","₱24.00","₱1.00","₱500.00","₱877.50","₱287.79","₱100.00","₱3,689.16","₱525.00","₱4,954.45","₱19,711.10","₱14,756.65"
