"Employee ID","Full Name","Position","Department","Days Worked","Total Hours","Overtime Hours"
"1","Garcia, Manuel III","Chief Executive Officer","Corporate","84","747.55","0.00"
"2","Lim, Antonio","Chief Operating Officer","Corporate","85","756.25","0.00"
"3","Aquino, Bianca Sofia","Chief Finance Officer","Corporate","84","748.07","0.00"
"4","Reyes, Isabella","Chief Marketing Officer","Corporate","85","751.65","0.00"
"5","Hernandez, Eduard","IT Operations and Systems","IT","86","765.43","0.00"
"6","Villanueva, Andrea Mae","HR Manager","HR","85","759.80","0.00"
"7","San Jose, Brad ","HR Team Leader","HR","85","751.07","0.00"
"8","Romualdez, Alice","HR Rank and File","HR","85","756.73","0.00"
"9","Atienza, Rosie ","HR Rank and File","HR","84","744.50","0.00"
"10","Alvaro, Roderick","Accounting Head","Accounting","79","706.62","0.00"
"11","Salcedo, Anthony","Payroll Manager","Payroll","84","745.65","0.00"
"12","Lopez, Josie ","Payroll Team Leader","Payroll","84","742.47","0.00"
"13","Farala, Martha","Payroll Rank and File","Payroll","84","745.68","0.00"
"14","Martinez, Leila","Payroll Rank and File","Payroll","84","740.15","0.00"
"15","Romualdez, Fredrick ","Account Manager","Accounting","81","724.50","0.00"
"16","Mata, Christian","Account Team Leader","Accounting","81","723.97","0.00"
"17","De Leon, Selena ","Account Team Leader","Accounting","84","733.08","0.00"
"18","San Jose, Allison ","Account Rank and File","Accounting","83","737.27","0.00"
"19","Rosario, Cydney ","Account Rank and File","Accounting","84","746.48","0.00"
"20","Bautista, Mark ","Account Rank and File","Accounting","81","722.75","0.00"
"21","Lazaro, Darlene ","Account Rank and File","Accounting","80","705.15","0.00"
"22","Delos Santos, Kolby ","Account Rank and File","Accounting","80","700.07","0.00"
"23","Santos, Vella ","Account Rank and File","Accounting","80","706.87","0.00"
"24","Del Rosario, Tomas","Account Rank and File","Accounting","81","709.15","0.00"
"25","Tolentino, Jacklyn ","Account Rank and File","Accounting","77","685.72","0.00"
"26","Gutierrez, Percival ","Account Rank and File","Accounting","72","644.23","0.00"
"27","Manalaysay, Garfield ","Account Rank and File","Accounting","78","657.93","0.00"
"28","Villegas, Lizeth ","Account Rank and File","Accounting","79","699.93","0.00"
"29","Ramos, Carol ","Account Rank and File","Accounting","78","697.57","0.00"
"30","Maceda, Emelia ","Account Rank and File","Accounting","81","720.80","0.00"
"31","Aguilar, Delia ","Account Rank and File","Accounting","77","673.63","0.00"
"32","Castro, John Rafael","Sales & Marketing","Sales","77","680.33","0.00"
"33","Martinez, Carlos Ian","Supply Chain and Logistics","Logistics","78","684.23","0.00"
"34","Santos, Beatriz","Customer Service and Relations","Customer Service","77","680.95","0.00"
