"PAYSLIP_NO","EMPLOYEE_NO","EMPLOYEE_NAME","PERIOD_START_DATE","PERIOD_END_DATE","EMPLOYEE_POSITION/DEPARTMENT","MONTHLY_RATE","HOURLY_RATE","HOURS_WORKED","OVERTIME","RICE_SUBSIDY","PHONE_ALLOWANCE","CLOTHING_ALLOWANCE","SSS","PHILHEALTH","PAG-IBIG","WITHHOLDING_TAX","TOTAL_ALLOWANCES","TOTAL_DEDUCTIONS","GROSS_iNCOME","NET_PAY"
"2022-02-01 - 34","34","Santos, Beatriz","2022-02-01","2022-02-28","Customer Service and Relations / Customer Service","₱52,670.00","₱313.51","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.32","₱56.43","₱0.00","₱3,500.00","₱256.26","₱6,321.59","₱6,065.33"
"2022-02-01 - 33","33","Martinez, Carlos Ian","2022-02-01","2022-02-28","Supply Chain and Logistics / Logistics","₱52,670.00","₱313.51","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.32","₱56.43","₱0.00","₱3,500.00","₱256.26","₱6,321.59","₱6,065.33"
"2022-02-01 - 32","32","Castro, John Rafael","2022-02-01","2022-02-28","Sales & Marketing / Sales","₱52,670.00","₱313.51","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.32","₱56.43","₱0.00","₱3,500.00","₱256.26","₱6,321.59","₱6,065.33"
"2022-02-01 - 31","31","Aguilar, Delia ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-02-01 - 30","30","Maceda, Emelia ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-02-01 - 29","29","Ramos, Carol ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-02-01 - 28","28","Villegas, Lizeth ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱24,000.00","₱142.86","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.29","₱12.86","₱0.00","₱2,500.00","₱189.64","₱3,785.74","₱3,596.10"
"2022-02-01 - 27","27","Manalaysay, Garfield ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱24,750.00","₱147.32","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.89","₱13.26","₱0.00","₱2,500.00","₱190.65","₱3,825.88","₱3,635.23"
"2022-02-01 - 26","26","Gutierrez, Percival ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱24,750.00","₱147.32","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.89","₱13.26","₱0.00","₱2,500.00","₱190.65","₱3,825.88","₱3,635.23"
"2022-02-01 - 25","25","Tolentino, Jacklyn ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱24,000.00","₱142.86","6.50","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱13.93","₱9.29","₱0.00","₱2,500.00","₱180.71","₱3,428.59","₱3,247.88"
"2022-02-01 - 24","24","Del Rosario, Tomas","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-02-01 - 23","23","Santos, Vella ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-02-01 - 22","22","Delos Santos, Kolby ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱24,000.00","₱142.86","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.29","₱12.86","₱0.00","₱2,500.00","₱189.64","₱3,785.74","₱3,596.10"
"2022-02-01 - 21","21","Lazaro, Darlene ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱23,250.00","₱138.39","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.68","₱12.46","₱0.00","₱2,500.00","₱188.64","₱3,745.51","₱3,556.87"
"2022-02-01 - 20","20","Bautista, Mark ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱23,250.00","₱138.39","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.68","₱12.46","₱0.00","₱2,500.00","₱188.64","₱3,745.51","₱3,556.87"
"2022-02-01 - 19","19","Rosario, Cydney ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-02-01 - 18","18","San Jose, Allison ","2022-02-01","2022-02-28","Account Rank and File / Accounting","₱22,500.00","₱133.93","18.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱36.16","₱48.21","₱0.00","₱2,500.00","₱241.88","₱4,910.74","₱4,668.86"
"2022-02-01 - 17","17","De Leon, Selena ","2022-02-01","2022-02-28","Account Team Leader / Accounting","₱41,850.00","₱249.11","18.00","₱0.00","₱1,500.00","₱800.00","₱800.00","₱225.00","₱67.26","₱89.68","₱0.00","₱3,100.00","₱381.94","₱7,583.98","₱7,202.04"
"2022-02-01 - 16","16","Mata, Christian","2022-02-01","2022-02-28","Account Team Leader / Accounting","₱42,975.00","₱255.80","18.00","₱0.00","₱1,500.00","₱800.00","₱800.00","₱225.00","₱69.07","₱92.09","₱0.00","₱3,100.00","₱386.15","₱7,704.40","₱7,318.25"
"2022-02-01 - 15","15","Romualdez, Fredrick ","2022-02-01","2022-02-28","Account Manager / Accounting","₱53,500.00","₱318.45","18.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱270.00","₱85.98","₱100.00","₱0.00","₱3,500.00","₱455.98","₱9,232.10","₱8,776.12"
"2022-02-01 - 14","14","Martinez, Leila","2022-02-01","2022-02-28","Payroll Rank and File / Payroll","₱24,000.00","₱142.86","13.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱27.86","₱37.14","₱0.00","₱2,500.00","₱222.50","₱4,357.18","₱4,134.68"
"2022-02-01 - 13","13","Farala, Martha","2022-02-01","2022-02-28","Payroll Rank and File / Payroll","₱24,000.00","₱142.86","18.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱38.57","₱51.43","₱0.00","₱2,500.00","₱247.50","₱5,071.48","₱4,823.98"
"2022-02-01 - 12","12","Lopez, Josie ","2022-02-01","2022-02-28","Payroll Team Leader / Payroll","₱38,475.00","₱229.02","18.00","₱0.00","₱1,500.00","₱800.00","₱800.00","₱202.50","₱61.84","₱82.45","₱0.00","₱3,100.00","₱346.78","₱7,222.36","₱6,875.58"
"2022-02-01 - 11","11","Salcedo, Anthony","2022-02-01","2022-02-28","Payroll Manager / Payroll","₱50,825.00","₱302.53","18.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱270.00","₱81.68","₱100.00","₱0.00","₱3,500.00","₱451.68","₱8,945.54","₱8,493.86"
"2022-02-01 - 10","10","Alvaro, Roderick","2022-02-01","2022-02-28","Accounting Head / Accounting","₱52,670.00","₱313.51","18.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱270.00","₱84.65","₱100.00","₱0.00","₱3,500.00","₱454.65","₱9,143.18","₱8,688.53"
"2022-02-01 - 9","9","Atienza, Rosie ","2022-02-01","2022-02-28","HR Rank and File / HR","₱22,500.00","₱133.93","18.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱36.16","₱48.21","₱0.00","₱2,500.00","₱241.88","₱4,910.74","₱4,668.86"
"2022-02-01 - 8","8","Romualdez, Alice","2022-02-01","2022-02-28","HR Rank and File / HR","₱22,500.00","₱133.93","18.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱36.16","₱48.21","₱0.00","₱2,500.00","₱241.88","₱4,910.74","₱4,668.86"
"2022-02-01 - 7","7","San Jose, Brad ","2022-02-01","2022-02-28","HR Team Leader / HR","₱42,975.00","₱255.80","17.75","₱0.00","₱1,500.00","₱800.00","₱800.00","₱225.00","₱68.11","₱90.81","₱0.00","₱3,100.00","₱383.92","₱7,640.45","₱7,256.53"
"2022-02-01 - 6","6","Villanueva, Andrea Mae","2022-02-01","2022-02-28","HR Manager / HR","₱52,670.00","₱313.51","18.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱270.00","₱84.65","₱100.00","₱0.00","₱3,500.00","₱454.65","₱9,143.18","₱8,688.53"
"2022-02-01 - 5","5","Hernandez, Eduard","2022-02-01","2022-02-28","IT Operations and Systems / IT","₱52,670.00","₱313.51","18.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱270.00","₱84.65","₱100.00","₱0.00","₱3,500.00","₱454.65","₱9,143.18","₱8,688.53"
"2022-02-01 - 4","4","Reyes, Isabella","2022-02-01","2022-02-28","Chief Marketing Officer / Corporate","₱60,000.00","₱357.14","18.00","₱0.00","₱1,500.00","₱2,000.00","₱1,000.00","₱315.00","₱96.43","₱100.00","₱0.00","₱4,500.00","₱511.43","₱10,928.52","₱10,417.09"
"2022-02-01 - 3","3","Aquino, Bianca Sofia","2022-02-01","2022-02-28","Chief Finance Officer / Corporate","₱60,000.00","₱357.14","18.00","₱0.00","₱1,500.00","₱2,000.00","₱1,000.00","₱315.00","₱96.43","₱100.00","₱0.00","₱4,500.00","₱511.43","₱10,928.52","₱10,417.09"
"2022-02-01 - 2","2","Lim, Antonio","2022-02-01","2022-02-28","Chief Operating Officer / Corporate","₱60,000.00","₱357.14","9.00","₱0.00","₱1,500.00","₱2,000.00","₱1,000.00","₱157.50","₱48.21","₱64.29","₱0.00","₱4,500.00","₱270.00","₱7,714.26","₱7,444.26"
"2022-02-01 - 1","1","Garcia, Manuel III","2022-02-01","2022-02-28","Chief Executive Officer / Corporate","₱90,000.00","₱535.71","9.00","₱0.00","₱1,500.00","₱2,000.00","₱1,000.00","₱247.50","₱72.32","₱96.43","₱0.00","₱4,500.00","₱416.25","₱9,321.39","₱8,905.14"
"2022-01-01 - 34","34","Santos, Beatriz","2022-01-01","2022-01-31","Customer Service and Relations / Customer Service","₱52,670.00","₱313.51","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.32","₱56.43","₱0.00","₱3,500.00","₱256.26","₱6,321.59","₱6,065.33"
"2022-01-01 - 33","33","Martinez, Carlos Ian","2022-01-01","2022-01-31","Supply Chain and Logistics / Logistics","₱52,670.00","₱313.51","8.65","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱40.68","₱54.24","₱0.00","₱3,500.00","₱252.42","₱6,211.86","₱5,959.45"
"2022-01-01 - 32","32","Castro, John Rafael","2022-01-01","2022-01-31","Sales & Marketing / Sales","₱52,670.00","₱313.51","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.32","₱56.43","₱0.00","₱3,500.00","₱256.26","₱6,321.59","₱6,065.33"
"2022-01-01 - 31","31","Aguilar, Delia ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-01-01 - 30","30","Maceda, Emelia ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-01-01 - 29","29","Ramos, Carol ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-01-01 - 28","28","Villegas, Lizeth ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱24,000.00","₱142.86","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.29","₱12.86","₱0.00","₱2,500.00","₱189.64","₱3,785.74","₱3,596.10"
"2022-01-01 - 27","27","Manalaysay, Garfield ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱24,750.00","₱147.32","8.55","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.89","₱12.60","₱0.00","₱2,500.00","₱188.99","₱3,759.59","₱3,570.60"
"2022-01-01 - 26","26","Gutierrez, Percival ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱24,750.00","₱147.32","8.98","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.85","₱13.23","₱0.00","₱2,500.00","₱190.59","₱3,823.42","₱3,632.84"
"2022-01-01 - 25","25","Tolentino, Jacklyn ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱24,000.00","₱142.86","8.92","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.11","₱12.74","₱0.00","₱2,500.00","₱189.35","₱3,773.84","₱3,584.49"
"2022-01-01 - 24","24","Del Rosario, Tomas","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-01-01 - 23","23","Santos, Vella ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-01-01 - 22","22","Delos Santos, Kolby ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱24,000.00","₱142.86","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.29","₱12.86","₱0.00","₱2,500.00","₱189.64","₱3,785.74","₱3,596.10"
"2022-01-01 - 21","21","Lazaro, Darlene ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱23,250.00","₱138.39","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.68","₱12.46","₱0.00","₱2,500.00","₱188.64","₱3,745.51","₱3,556.87"
"2022-01-01 - 20","20","Bautista, Mark ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱23,250.00","₱138.39","8.75","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.16","₱12.11","₱0.00","₱2,500.00","₱187.77","₱3,710.91","₱3,523.14"
"2022-01-01 - 19","19","Rosario, Cydney ","2022-01-01","2022-01-31","Account Rank and File / Accounting","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-01-01 - 15","15","Romualdez, Fredrick ","2022-01-01","2022-01-31","Account Manager / Accounting","₱53,500.00","₱318.45","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.99","₱57.32","₱0.00","₱3,500.00","₱257.81","₱6,366.05","₱6,108.24"
"2022-01-01 - 14","14","Martinez, Leila","2022-01-01","2022-01-31","Payroll Rank and File / Payroll","₱24,000.00","₱142.86","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.29","₱12.86","₱0.00","₱2,500.00","₱189.64","₱3,785.74","₱3,596.10"
"2022-01-01 - 13","13","Farala, Martha","2022-01-01","2022-01-31","Payroll Rank and File / Payroll","₱24,000.00","₱142.86","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱19.29","₱12.86","₱0.00","₱2,500.00","₱189.64","₱3,785.74","₱3,596.10"
"2022-01-01 - 12","12","Lopez, Josie ","2022-01-01","2022-01-31","Payroll Team Leader / Payroll","₱38,475.00","₱229.02","9.00","₱0.00","₱1,500.00","₱800.00","₱800.00","₱157.50","₱30.92","₱41.22","₱0.00","₱3,100.00","₱229.64","₱5,161.18","₱4,931.54"
"2022-01-01 - 11","11","Salcedo, Anthony","2022-01-01","2022-01-31","Payroll Manager / Payroll","₱50,825.00","₱302.53","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱40.84","₱54.46","₱0.00","₱3,500.00","₱252.80","₱6,222.77","₱5,969.97"
"2022-01-01 - 10","10","Alvaro, Roderick","2022-01-01","2022-01-31","Accounting Head / Accounting","₱52,670.00","₱313.51","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.32","₱56.43","₱0.00","₱3,500.00","₱256.26","₱6,321.59","₱6,065.33"
"2022-01-01 - 9","9","Atienza, Rosie ","2022-01-01","2022-01-31","HR Rank and File / HR","₱22,500.00","₱133.93","9.00","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱18.08","₱12.05","₱0.00","₱2,500.00","₱187.63","₱3,705.37","₱3,517.74"
"2022-01-01 - 8","8","Romualdez, Alice","2022-01-01","2022-01-31","HR Rank and File / HR","₱22,500.00","₱133.93","8.53","₱0.00","₱1,500.00","₱500.00","₱500.00","₱157.50","₱17.14","₱11.43","₱0.00","₱2,500.00","₱186.07","₱3,642.87","₱3,456.80"
"2022-01-01 - 7","7","San Jose, Brad ","2022-01-01","2022-01-31","HR Team Leader / HR","₱42,975.00","₱255.80","9.00","₱0.00","₱1,500.00","₱800.00","₱800.00","₱157.50","₱34.53","₱46.04","₱0.00","₱3,100.00","₱238.08","₱5,402.20","₱5,164.12"
"2022-01-01 - 6","6","Villanueva, Andrea Mae","2022-01-01","2022-01-31","HR Manager / HR","₱52,670.00","₱313.51","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.32","₱56.43","₱0.00","₱3,500.00","₱256.26","₱6,321.59","₱6,065.33"
"2022-01-01 - 5","5","Hernandez, Eduard","2022-01-01","2022-01-31","IT Operations and Systems / IT","₱52,670.00","₱313.51","9.00","₱0.00","₱1,500.00","₱1,000.00","₱1,000.00","₱157.50","₱42.32","₱56.43","₱0.00","₱3,500.00","₱256.26","₱6,321.59","₱6,065.33"
"2022-01-01 - 4","4","Reyes, Isabella","2022-01-01","2022-01-31","Chief Marketing Officer / Corporate","₱60,000.00","₱357.14","9.00","₱0.00","₱1,500.00","₱2,000.00","₱1,000.00","₱157.50","₱48.21","₱64.29","₱0.00","₱4,500.00","₱270.00","₱7,714.26","₱7,444.26"
"2022-01-01 - 3","3","Aquino, Bianca Sofia","2022-01-01","2022-01-31","Chief Finance Officer / Corporate","₱60,000.00","₱357.14","9.00","₱0.00","₱1,500.00","₱2,000.00","₱1,000.00","₱157.50","₱48.21","₱64.29","₱0.00","₱4,500.00","₱270.00","₱7,714.26","₱7,444.26"
"2022-01-01 - 2","2","Lim, Antonio","2022-01-01","2022-01-31","Chief Operating Officer / Corporate","₱60,000.00","₱357.14","8.82","₱0.00","₱1,500.00","₱2,000.00","₱1,000.00","₱157.50","₱47.23","₱62.98","₱0.00","₱4,500.00","₱267.71","₱7,648.78","₱7,381.08"
"2022-01-01 - 1","1","Garcia, Manuel III","2022-01-01","2022-01-31","Chief Executive Officer / Corporate","₱90,000.00","₱535.71","9.00","₱0.00","₱1,500.00","₱2,000.00","₱1,000.00","₱247.50","₱72.32","₱96.43","₱0.00","₱4,500.00","₱416.25","₱9,321.39","₱8,905.14"
