"EMPLOYEE_NO","USERNAME","PASSWORD","POSITION","DEPARTMENT","ROLE"
"1","MGarcia1","P2bG!8Fm","Chief Executive Officer","Corporate","EMPLOYEE"
"2","ALim2","R9dK#7Vz","Chief Operating Officer","Corporate","EMPLOYEE"
"3","BAquino3","L4pN!6Wq","Chief Finance Officer","Corporate","EMPLOYEE"
"4","IReyes4","M7sJ$4Dq","Chief Marketing Officer","Corporate","EMPLOYEE"
"5","EHernandez5","S8kH!3Rq","IT Operations and Systems","IT","IT_ADMIN"
"6","AVillanueva6","T5fV#2Jn","HR Manager","HR","HR_ADMIN"
"7","BSanJose7","G3mR!9Lp","HR Team Leader","HR","HR_ADMIN"
"8","ARomualdez8","D4rN$6Bj","HR Rank and File","HR","HR_ADMIN"
"9","RAtienza9","F1lG!9Vx","HR Rank and File","HR","HR_ADMIN"
"10","RAlvaro10","A8vW#2Ck","Accounting Head","Accounting","EMPLOYEE"
"11","ASalcedo11","J6cM!9Pq","Payroll Manager","Payroll","PAYROLL_ADMIN"
"12","JLopez12","H7zL$5Jw","Payroll Team Leader","Payroll","PAYROLL_ADMIN"
"13","MFarala13","Y2bR!8Cn","Payroll Rank and File","Payroll","PAYROLL_ADMIN"
"14","LMartinez14","X9wD#3Vz","Payroll Rank and File","Payroll","PAYROLL_ADMIN"
"15","FRomualdez15","B3dW!5Km","Account Manager","Accounting","EMPLOYEE"
"16","CMata16","C8tG$1Qj","Account Team Leader","Accounting","EMPLOYEE"
"17","SDeLeon17","N4yF!7Zv","Account Team Leader","Accounting","EMPLOYEE"
"18","ASanJose18","K6hB#4Rq","Account Rank and File","Accounting","EMPLOYEE"
"19","CRosario19","U9sZ!2Hf","Account Rank and File","Accounting","EMPLOYEE"
"20","MBautista20","I1jF$8Mz","Account Rank and File","Accounting","EMPLOYEE"
"21","DLazaro21","Q7nV!4Dm","Account Rank and File","Accounting","EMPLOYEE"
"22","KDelosSantos22","W5gZ#3Np","Account Rank and File","Accounting","EMPLOYEE"
"23","VSantos23","E3mS!7Pq","Account Rank and File","Accounting","EMPLOYEE"
"24","TDelRosario24","Z8pX$2Fn","Account Rank and File","Accounting","EMPLOYEE"
"25","JTolentino25","O9xH!1Jr","Account Rank and File","Accounting","EMPLOYEE"
"26","PGutierrez26","V2cK#6Lz","Account Rank and File","Accounting","EMPLOYEE"
"27","GManalaysay27","P6rN!8Gw","Account Rank and File","Accounting","EMPLOYEE"
"28","LVillegas28","R3lM$5Vn","Account Rank and File","Accounting","EMPLOYEE"
"29","CRamos29","L7sJ!2Wx","Account Rank and File","Accounting","EMPLOYEE"
"30","EMaceda30","M4pN#9Bq","Account Rank and File","Accounting","EMPLOYEE"
"31","DAguilar31","S8kH!3Rw","Account Rank and File","Accounting","EMPLOYEE"
"32","JCastro32","T5fV$2Jq","Sales & Marketing","Sales","EMPLOYEE"
"33","CMartinez33","G3mR!9Lp","Supply Chain and Logistics","Logistics","EMPLOYEE"
"34","BSantos34","1234","Reyes, Isabella","Customer Service and Relations","Employee"
